poster_id,asset_type,description
Europe_CPOI,map,Europe Lambert azimuthal relief and cultural regions map
Europe_CPOI,graph,From Ice Paths to Rail Lines timeline
Europe_CPOI,image,AI collage of Alpine Rhine Baltic Mediterranean landscapes
Europe_CPOI,image,AI photo of diverse European visitors with tactile map
Europe_WEATHER,map,Europe storm and wind systems map with Lisbon-Alps transect
Europe_WEATHER,graph,North Atlantic Oscillation index line chart
Europe_WEATHER,graph,Continental heat dome alerts bar chart
Europe_WEATHER,image,AI photo of Provençal farmers in mistral wind
Europe_WEATHER,image,AI visualization of North Atlantic storm approaching Europe
Europe_LANDFORM_L,map,Glacial North fjord and shield map
Europe_LANDFORM_L,graph,Shoreline rise relative uplift line chart
Europe_LANDFORM_L,image,AI aerial of Norwegian fjord village with fishing boats
Europe_LANDFORM_L,image,AI illustration of isostatic rebound cross-section with Sami herder
Europe_LANDFORM_R,map,Karst to delta southern Europe waterworks map
Europe_LANDFORM_R,graph,Sediment delivery stacked bar chart
Europe_LANDFORM_R,image,AI photo of Danube Delta reed harvester at sunrise
Europe_LANDFORM_R,image,AI photo of karst cave researchers measuring river
Europe_BIOCOLL,map,European biome stewardship map
Europe_BIOCOLL,graph,Habitat recovery comparison line chart
Europe_BIOCOLL,image,AI montage of peatland team alpine shepherd Sardinian fire crew
Europe_BIOCOLL,image,AI macro of bog moss alpine flowers maquis herbs
Europe_ANIMCOLL,map,European migration corridors map with stopovers
Europe_ANIMCOLL,graph,Puffin foraging range radial chart
Europe_ANIMCOLL,image,AI composite of puffins salmon lynx cranes orcas with volunteers
Europe_ANIMCOLL,image,AI infographic of migration routes with monitoring icons
Europe_FEATANIM,map,Iberian lynx range and stewardship map
Europe_FEATANIM,graph,Iberian lynx population rebound line chart
Europe_FEATANIM,image,AI dusk photo of Iberian lynx in cork oak grove
Europe_FEATANIM,image,AI photo of ranger and rancher installing wildlife camera
Europe_TREASBIO,map,Europe genetic resource network map
Europe_TREASBIO,graph,Diversity safeguarded stacked bar chart
Europe_TREASBIO,image,AI portraits of seed vault technicians cheesemakers farmers divers
Europe_TREASBIO,image,AI still life of seeds cheese chestnuts seagrass shoots
Europe_ETHNO,map,Cultural knowledge territories map with seasonal calendars
Europe_ETHNO,graph,Observation logs bar chart
Europe_ETHNO,image,AI portraits of Sámi Basque Hungarian Greek knowledge keepers
Europe_ETHNO,image,AI workshop scene with maps and shared meal
Europe_STATSFT,map,Mini-map series for Europe systems featurettes
Europe_STATSFT,graph,Freight shift emissions line chart
Europe_STATSFT,image,AI collage of wind hubs train crews water stewards peat guides
Europe_STATSFT,image,AI vector layout of four European featurette mini-maps
Europe_CULTINNOV,map,Europe innovation network map
Europe_CULTINNOV,graph,Impact radar chart for innovations
Europe_CULTINNOV,image,AI scenes of street shading heat pump install floating farm island microgrid
Europe_CULTINNOV,image,AI infographic collage of innovation matrix multilingual captions
Europe_CHARNARR,image,AI portrait of Sámi woman touching birch with reindeer
Europe_CHARNARR,image,AI image of Dutch teenage boy checking water gauge near turbines
Europe_CHARNARR,image,AI portrait of Sicilian woman tending terraced citrus with grandson
